,cluster,monetary,frequency,recency,review_score,nb_products,payment_mean_credit_card_value,payment_mean_debit_card_value,payment_mean_voucher_value,payment_mean_boleto_value,payment_installments,payment_sequential,scoring_RFM,scoring_RFM,scoring_RFM,mean_delivery_delay,mean_freight_value,members
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,max,mean,mean,
0,0,126.93135448508485,0.6307578792031201,25.48634974175187,4.324848037665578,1.295773163276062,92.77390354335198,5.451873106286487,1.699159820498613,22.68669689628548,2.3448227398896733,1.012051579354204,12.856645936544746,10,15,7.576549865229111,20.08185881181617,9487
1,1,127.15036417958656,0.07904666229256818,380.65423126614985,4.177298664944014,1.330722437553833,92.18806797575479,1.1381120742856172,2.3245604532086577,26.385510407916577,2.520220984065461,1.0186665590008612,6.133882428940568,3,12,12.50815745879336,18.349075341206394,37152
2,2,983.2743989071039,0.14475826822027274,261.24772313296904,3.988615664845173,3.1316029143897994,642.6806504504567,14.176987646273142,11.191803652732098,243.46561462979065,3.927519732847602,1.0297510625379478,10.522768670309654,7,15,14.6335926747812,44.486303661202186,2196
3,3,130.20489148963236,0.19160387896958841,149.0106856634016,4.126285883899419,1.3477929016664547,96.46708117552353,1.9910742965337203,1.9224037453539091,23.913634363223853,2.3734384938303017,1.0159691303057286,10.410304032565831,5,15,12.49016106510064,19.135675375865667,39305
