,eps,n_clusters,noise_points
0,0.5,23,831
1,0.6,8,573
2,0.7,5,401
3,0.7999999999999999,4,298
4,0.8999999999999999,5,200
5,0.9999999999999999,5,165
6,1.0999999999999999,6,137
7,1.1999999999999997,5,118
8,1.2999999999999998,5,105
9,1.4,5,92
10,1.4999999999999998,5,78
11,1.5999999999999996,4,63
12,1.6999999999999997,4,54
13,1.7999999999999998,5,40
14,1.8999999999999997,4,40
15,1.9999999999999996,4,39
16,2.0999999999999996,3,34
17,2.1999999999999997,3,29
18,2.3,3,28
19,2.3999999999999995,3,22
