,cluster,monetary,frequency,recency,review_score,nb_products,payment_mean_credit_card_value,payment_mean_debit_card_value,payment_mean_voucher_value,payment_mean_boleto_value,payment_installments,payment_sequential,scoring_RFM,scoring_RFM,scoring_RFM,members
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,mean,max,
0,0,113.62615215801023,0.10495912764728521,321.5419584073571,3.9008791067316344,1.230536106176194,91.08123936495171,0.9724683926040469,1.3706865871771088,17.770182349537592,2.4595569024976487,1.0,3,6.944926324589821,15,9569
1,1,476.41231343283584,0.21770957315722408,183.93351424694708,4.401593284859417,2.755766621438263,374.58701183935034,0.16221167306887083,0.0,88.01271007698297,5.307666214382632,1.0003392130257802,5,11.583446404341927,15,1474
2,2,169.66379705400982,0.16896935807213329,255.93780687397708,4.0740837264130425,1.292962356792144,27.891520641363577,2.353436964818577,46.322901036436896,0.08895799103032938,1.453491543917076,1.510365521003819,3,8.680851063829786,15,611
3,3,124.08591190755317,0.31938973528429637,108.08541282867192,4.525386090907716,1.1910902696365768,77.23377419316655,4.755886803478317,0.014992464129758269,37.97327585720253,1.9302461899179366,1.0,6,11.343158599899514,15,5971
4,4,3097.3333333333335,0.3333333333333333,64.0,4.333333333333333,1.6666666666666667,0.0,3097.3333333333335,0.0,0.0,1.0,1.0,14,14.333333333333334,15,3
